,Media,Title,Senti,Score,Total_score,Open,High,Low,Close,Adj Close,Volume
2023-09-21,헤럴드경제,"“아이폰 사진, 삼성은 못 따라와?” 유명 연예인 빠지더니…충격 결과",negative,0.9698469638824463,1.9698469638824463,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,“115만원→58만원” 새 아이폰 출시되자 삼성 최신폰 ‘헐값’ 됐다,positive,0.8958793878555298,3.89587938785553,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,최주선 삼성D 대표 “하반기 쉽지 않아…디스플레이가 국가 선도할 수 있...,neutral,0.5511775612831116,2.5511775612831116,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,“115만원→58만원” 새 아이폰 출시되자 삼성 최신폰 ‘헐값’ 됐다,positive,0.8958793878555298,3.89587938785553,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,최주선 삼성D 대표 “하반기 쉽지 않아…디스플레이가 국가 선도할 수 있...,neutral,0.5511775612831116,2.5511775612831116,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,'삼성에 갑질' 브로드컴 191억 과징금,negative,0.9997668862342834,1.9997668862342834,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,"브로드컴 ""폭탄투하""까지 꺼내며 삼성 겁박",negative,0.9992363452911377,1.9992363452911377,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,삼성·애플 모두…'스마트폰 두뇌칩'으로 급 나눈다,neutral,0.9919064044952393,2.9919064044952393,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,"또 6만전자 됐는데…골드만 ""삼전 9만원 간다""",neutral,0.8374732732772827,2.8374732732772827,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,"[영상] 삼성 비스포크 제트 AI, '오염물에 직접 분사' 고온 세척으...",neutral,0.9671413898468018,2.9671413898468018,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,‘삼전개미’ 80만명 평단 7만2927원…“아 그래서 파는구나” [투자...,neutral,0.9998615980148315,2.9998615980148315,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,매일경제,D램값 반등세 … 삼성전자 주가 바닥론 '솔솔' [MBN GOLD 증시...,positive,0.9996681213378906,3.9996681213378906,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,서울경제,"[데이터로 보는 증시] OCI홀딩스·삼성전자, 기관·외국인 코스피 순매...",neutral,0.9998667240142822,2.9998667240142822,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,"[영상] 삼성 비스포크 제트 AI, '오염물에 직접 분사' 고온 세척으...",neutral,0.9671413898468018,2.9671413898468018,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,한국경제,"삼성전자 하락에 애타는 개미들…골드만 ""9만3000원 갑니다""",negative,0.9971601963043213,1.9971601963043213,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,헤럴드경제,‘삼전개미’ 80만명 평단 7만2927원…“아 그래서 파는구나” [투자...,neutral,0.9998615980148315,2.9998615980148315,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,매일경제,D램값 반등세 … 삼성전자 주가 바닥론 '솔솔' [MBN GOLD 증시...,positive,0.9996681213378906,3.9996681213378906,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
2023-09-21,머니투데이,"""삼성에 갑질, 시정하겠다""더니…브로드컴 제재, 왜 3년 넘게 걸렸나",negative,0.9995551705360413,1.9995551705360413,69200.0,69800.0,68800.0,68900.0,68900.0,10796336
